id	filename	md5	size	state
0b215af1-1881-4d97-932e-898c1a3f2e58	TCGA-AA-3558-01A-01-BS1.5ad1d706-c15b-46a5-b1fd-3916edcd6390.svs	b75e2c8368be266cbc16c3bb8660e597	76848679	validated
0c127432-32ee-472b-a286-c7fc6c0d8e14	TCGA-A6-6780-01A-01-BS1.16f8e642-828f-4ca9-b039-b0f8ac0a5e97.svs	cd6de399edd12ac64cea17d98223af5c	216682633	validated
0c2e7be7-f173-4d24-9b02-1aaaa53bf5bf	TCGA-D5-6930-01A-01-TS1.14bcd1e4-5a00-4c2a-9336-81c9ea6da126.svs	291a3c17bd9e377cd8e2e4a604bc16b8	43224313	validated
0c43afc6-a905-4cef-af9d-748974200b08	TCGA-AG-A011-01A-01-BS1.52a1957e-9717-414f-836f-ed364ee2e53b.svs	678c83659058e62ed0c1ed6a37e16897	138032930	validated
0c495b49-e180-4ce7-b2dc-6eb86297363c	TCGA-AA-3529-01A-01-BS1.b86167d4-4d8d-4fbb-b3e7-e9a1e0bbe5c8.svs	348d0078b0f2bd40a9aa820fbb6235da	172855699	validated
0cb713d8-0254-48a1-b1c9-fbc8896f6c67	TCGA-AA-A02W-01A-01-BS1.dfde4d54-8888-417e-b932-359abfcf0bfd.svs	defb2862b0bb4101042189b22b7565e6	105230375	validated
0cc1eb18-59ed-4952-9144-3f1640266329	TCGA-AA-3939-01A-01-TS1.dacb1260-7d38-4f18-bda9-93bbbf3abfe4.svs	eda37b0987c50055b66bfabd613ef42c	61465405	validated
0d34ce1f-f066-4510-9ff5-3546ae8b7d7c	TCGA-AA-A004-01A-01-MS1.8926906e-f0ea-42d7-b71b-32c5f1f56405.svs	7379f3ad880f2f0c1f4477a0d3a9343f	380082861	validated
0d67c468-6b84-4c44-8dbb-781c630048c8	TCGA-F4-6806-01A-01-BS1.2d88d9cc-f564-4fe6-9120-93819736aaae.svs	1d44d3951e5f6a22c4d3c4ee9f8c9d01	292215453	validated
0d6c8b38-9edd-47e4-829a-7ae7d90abfd1	TCGA-A6-2671-11A-01-TS1.f8122238-e900-407d-b9f8-a1d7ba677bb0.svs	a65191f448bbd05cf99a0fa5c9d69e37	121941553	validated
0d702df4-a27c-461f-9aea-97c0c552f5ee	TCGA-AG-A008-01A-01-BS1.ca09c601-d308-481e-9181-b527761cb68b.svs	f828eb5733bcfeffce99c33ddea8ddf0	164102616	validated
0d896bee-4392-4a6e-80ee-cab0e90831e6	TCGA-CL-5917-01A-01-TS1.de5b0c85-a810-4e45-b770-eef1d5dafb58.svs	2f5a8402077de703918595bc8d4e3f4b	14304017	validated
0da64cff-807c-4301-84e7-bcea231fa6fb	TCGA-AA-3814-01A-01-TS1.c72a49a0-eeb1-4b19-8f31-08f1a521a8dc.svs	7dbfc3a53892bdb6a6916930e5118312	87769745	validated
0dbaa53e-27d5-45ea-8a8f-c2768c5c2585	TCGA-DC-6155-01A-01-TS1.f99f5c5f-1fbf-4375-956c-2d9bfc1a66a9.svs	579201b291e2c7eb2dab2fdb112e7fc6	309423017	validated
0dee1312-9ef1-488a-ba54-87d992e7e255	TCGA-AF-2689-01A-01-TS1.b9636aa9-7999-46b3-ad49-aa62bc897e27.svs	ce2c953db38e61b8c61ba3c3f66c388b	73810477	validated
0e155c17-1379-4bc5-8440-2d2d90c2029d	TCGA-AA-A022-01A-01-BS1.7e34b755-24dd-45a3-8945-bb45b80a251b.svs	01131070b3b73c1eb1ffe1f48eb48a2a	189009948	validated
